foot_contact_forces
"charlotte-sim repo hash: 46395edc6d0c8927cf8d5f1aabf662f39d634e6d WARNING: charlotte-sim git repo was NOT clean, it may have changes not captured as of this hash!"
charlotte-description repo hash: 58b78b6450979467e648200be8d12d1950012a35
Units: N
Time,MR_Fx,MR_Fy,MR_Fz,BR_Fx,BR_Fy,BR_Fz,FL_Fx,FL_Fy,FL_Fz,ML_Fx,ML_Fy,ML_Fz,BL_Fx,BL_Fy,BL_Fz,FR_Fx,FR_Fy,FR_Fz
0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0001,-5.028723211395397,-52.084033399969144,-35.19678488030227,-15.933672479745454,-39.59708338052792,-8.991832379228779,17.374668346239673,17.626026338706062,-67.54209756491363,33.13613100324696,27.686716291830045,1.2470660920171108e-12,-4.102567347130223,17.09167983823083,-26.18381091022426,-80.66981096982342,105.48446788627518,7.977101202382614e-12
0.0003352823341008466,-5.028723211395397,-52.084033399969144,-35.19678488030227,-15.933672479745454,-39.59708338052792,-8.991832379228779,17.374668346239673,17.626026338706062,-67.54209756491363,33.13613100324696,27.686716291830045,1.2470660920171108e-12,-4.102567347130223,17.09167983823083,-26.18381091022426,-80.66981096982342,105.48446788627518,7.977101202382614e-12
0.001,-5.028723211395397,-52.084033399969144,-35.19678488030227,-15.933672479745454,-39.59708338052792,-8.991832379228779,17.374668346239673,17.626026338706062,-67.54209756491363,33.13613100324696,27.686716291830045,1.2470660920171108e-12,-4.102567347130223,17.09167983823083,-26.18381091022426,-80.66981096982342,105.48446788627518,7.977101202382614e-12
0.002,1.9913141880511238,-36.32946510847026,1.3684069547901707e-12,-2.6591279071461074,-9.842967403460822,-0.0,10.990476520529295,25.837720132516665,4.71417965784841e-13,0.0,0.0,-0.0,-10.748891121302092,22.949119264605198,1.06024245299514e-12,0.0,0.0,0.0
0.003,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
0.008,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009000000000000001,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.011,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
0.013000000000000001,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
0.014,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
